,level_0,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,19_00_voosh,distance_in_meters_from_voosh
135,914,914,H. NO 24,12.9094883,77.67527709999997,Apartment,"Ambalipura, Bengaluru",7.3349782253003735,0.6458714864536225,4,260
136,915,915,Shilpa Dacha,12.9177432,77.6714529,Apartment,"Ambalipura, Bengaluru",6.886649950744397,1.2577015064551826,4,259
137,916,916,Wama Ibbanee,12.9099684,77.67611120000002,Apartment,"Ambalipura, Bengaluru",7.419879383038016,0.5440357629164979,4,228
138,917,917,SJR Prime Corporation Pvt Ltd,12.9195834,77.6683208,Apartment,"Ambalipura, Bengaluru",6.556391245079358,1.6533476555955213,8,487
139,920,920,Ambalipura,12.9150108,77.6700766,Apartment,"Ambalipura, Bengaluru",6.735914461863827,1.2509848875765102,5,309
140,923,923,G Block,12.9176439,77.66935409999998,Apartment,"Ambalipura, Bengaluru",6.658965055823823,1.4443952750188365,6,334
141,924,924,"Tower 5, Shriram Chirping Woods",12.9092164,77.66777090000002,Apartment,"Ambalipura, Bengaluru",6.5294132150311315,1.4467666028105,9,540
142,928,928,Olive Service Apartments HSR Layout Bangalore,12.9070377,77.6451853,Apartment,"Ambalipura, Bengaluru",4.1596140402962885,3.9051128605322427,17,993
143,931,931,Madagascar Villaments,12.9127888,77.6758082,Apartment,"Ambalipura, Bengaluru",7.365072947387519,0.583471933223944,4,216
144,932,932,MS project training,12.9224363,77.6705931,Apartment,"Ambalipura, Bengaluru",6.827895908189402,1.6757692578274497,10,623
145,935,935,Blue Zone The community kitchen%2F SJR Park Vista,12.9171468,77.66424920000001,Apartment,"Ambalipura, Bengaluru",6.10455094452175,1.9256725220832953,9,566
146,937,937,The Orchard Greens - Hotel in Sarjapur Road,12.9167711,77.66806,Apartment,"Ambalipura, Bengaluru",6.516846622854308,1.5264670043729047,5,327
147,938,938,BHK Residency,12.9183401,77.6543926,Apartment,"Ambalipura, Bengaluru",5.041499816596878,2.984884837678143,14,820
148,939,939,"122 west, Trinity Acres and Woods",12.916645,77.6658363,Apartment,"Ambalipura, Bengaluru",6.275694689103867,1.744950197492535,7,447
149,940,940,Easyday Club-Bengaluru-Divyashree Apartments,12.9182479,77.6735165,Apartment,"Ambalipura, Bengaluru",7.111928633616198,1.1204148395856877,10,574
150,943,943,Springfields Skywalk,12.9186392,77.66913659999999,Apartment,"Ambalipura, Bengaluru",6.6392743329794985,1.521743224887364,5,284
151,945,945,Sapthagiri Estates,12.919764,77.6675463,Apartment,"Ambalipura, Bengaluru",6.4738528379899565,1.7343902145615175,7,435
152,946,946,Amblipura,12.9162186,77.66578179999998,Apartment,"Ambalipura, Bengaluru",6.269468408524464,1.7348256106799793,8,463
153,948,948,Rooffund,12.9258286,77.6805886,Apartment,"Ambalipura, Bengaluru",7.948867564048053,1.621455397059959,15,904
154,952,952,Springfields Main Pool,12.9177722,77.669674,Apartment,"Ambalipura, Bengaluru",6.694016330962377,1.421540282830235,5,303
155,954,954,Orchids The International School - Sarjapur Road,12.9170701,77.67044179999998,Apartment,"Ambalipura, Bengaluru",6.775444374786483,1.3103754529558016,5,301
156,955,955,EXISTENTIAL KNOWLEDGE FOUNDATION,12.9168674,77.66862990000001,Apartment,"Ambalipura, Bengaluru",6.578747410265445,1.4746263000991315,5,323
157,959,959,sundha medicals,12.9184212,77.67090429999998,Apartment,"Ambalipura, Bengaluru",6.829706102063816,1.3499443319964959,8,502
158,960,960,Ansu Builders Pvt Ltd,12.9122823,77.6659142,Apartment,"Ambalipura, Bengaluru",6.297752218063827,1.6342261590877758,7,425
159,962,962,Avchetan Theatre,12.917567300000002,77.6693037,Apartment,"Ambalipura, Bengaluru",6.653283468622892,1.4449939047421592,6,354
160,964,964,Ekagra Yoga Therapy,12.9168674,77.66862990000001,Apartment,"Ambalipura, Bengaluru",6.578747410265445,1.4746263000991315,5,323
161,965,965,Iblur Bus Stop,12.9213065,77.6630563,Apartment,"Ambalipura, Bengaluru",6.002562264982586,2.2390796545196725,14,810
162,966,966,Delite Chaat House - Harlur,12.9139106,77.66677709999998,Apartment,"Ambalipura, Bengaluru",6.381755616211249,1.5648684681994904,6,385
163,967,967,BRIGHT LOTUS CONSULTING,12.9181948,77.6695175,Apartment,"Ambalipura, Bengaluru",6.678572738332471,1.4604443778038647,5,295
164,969,969,State Bank of India SARJAPURA ROAD,12.9188658,77.6700914,Apartment,"Ambalipura, Bengaluru",6.743782273124237,1.4502884422406273,8,472
165,970,970,Andra Villas Multi Restaurant,12.9187197,77.6708407,Apartment,"Ambalipura, Bengaluru",6.824180083698063,1.3752974244349712,8,494
166,971,971,VM SECURITIES,12.9181003,77.6694986,Apartment,"Ambalipura, Bengaluru",6.676158957923482,1.4566621706530805,5,297
167,973,973,P SINGHAL %26 CO (CHARTERED ACCOUNTANTS),12.9130681,77.6662323,Apartment,"Ambalipura, Bengaluru",6.326970193717733,1.6084602988663483,7,402
168,974,974,Lower ambalipura lake,12.9174275,77.66510509999998,Apartment,"Ambalipura, Bengaluru",6.197988291118703,1.8500784242548125,7,431
169,976,976,"Ruan Thai Spa Bellandur, Sarjapur Road",12.9191192,77.66884909999997,Apartment,"Ambalipura, Bengaluru",6.610682838353133,1.5770362107242224,8,457
170,977,977,Shri Balaji Hardware,12.9181867,77.6709966,Apartment,"Ambalipura, Bengaluru",6.838747794431682,1.3265580640378694,8,484
171,978,978,Seastar Labs,12.920731300000002,77.6687199,Apartment,"Ambalipura, Bengaluru",6.608391407072482,1.6940419458040346,9,517
172,979,979,A Better Word,12.916867,77.66862900000002,Apartment,"Ambalipura, Bengaluru",6.5786492635546905,1.47469583047814,5,323
173,980,980,RmZ Ecospace,12.9271463,77.6810426,Apartment,"Ambalipura, Bengaluru",8.018835689179681,1.7675156607982432,13,764
