,index,Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_voosh,19_00_voosh,distance_in_meters_from_voosh,13_30_voosh
139,9016,Venkateshwara deluxe pg for gents,12.9421111,77.7015029,Apartment,"Kadubeesanahalli, Bengaluru",0.503606539098968,2.2243472810092273,,,773,13
140,9025,Myntra Office,12.9434156,77.6986434,Office,"Kadubeesanahalli, Bengaluru",0.3926475499197695,2.3325938288245642,,,701,12
141,9030,Logic Information Systems (INDIA) Pvt Ltd,12.9429882,77.6979442,Office,"Kadubeesanahalli, Bengaluru",0.47283072475403054,2.420637477284046,,,699,12
142,9051,BWSSB AE office,12.9473227,77.6982627,Office,"Kadubeesanahalli, Bengaluru",0.2478014925272442,2.099018859370107,,,882,15
143,9053,Office of the Assistant Engineer,12.9476513,77.6985576,Office,"Kadubeesanahalli, Bengaluru",0.23586575446112457,2.052387709187922,,,893,15
144,9107,Adobe India,12.9439034,77.6968467,Office,"Kadubeesanahalli, Bengaluru",0.4811218406436456,2.4457084279283148,,,869,14
145,9139,Printfield Digital Solutions,12.9425323,77.6974204,Office,"Kadubeesanahalli, Bengaluru",0.5469526750103346,2.4967420266256637,,,712,12
146,9145,Sling Media Pvt Ltd,12.944032,77.6982854,Office,"Kadubeesanahalli, Bengaluru",0.3576671932851826,2.316250267395454,,,681,11
147,9155,"Marathahalli Police Station, Kadubeesanahalli",12.9455754,77.6979525,Office,"Kadubeesanahalli, Bengaluru",0.2839384834116483,2.23742406777374,,,892,15
148,9156,P R Business Center,12.943088,77.697952,Office,"Kadubeesanahalli, Bengaluru",0.4632020622019781,2.4125884731154303,,,697,12
149,9183,Croma,12.9431122,77.6978771,Office,"Kadubeesanahalli, Bengaluru",0.465696906316795,2.4168476794488813,,,694,12
150,9218,IndiQube Omega,12.959603,77.716588,Office,"Kadubeesanahalli, Bengaluru",2.280481404422767,0.3175485221851561,,,155,3
151,9230,G4S Secure Solution (India),12.9696551,77.7018511,Office,"Kadubeesanahalli, Bengaluru",2.5786255282613086,1.9218234859298269,,,636,11
152,9253,GoSpaze Interiors,12.9556125,77.7205394,Office,"Kadubeesanahalli, Bengaluru",2.406630963139495,0.6866172418574863,,,326,5
153,9272,Sree venkateshwara pg accommodation,12.9420344,77.7014584,PG,"Kadubeesanahalli, Bengaluru",0.5107783974098503,2.2339994711456197,,,776,13
154,9283,Venkateswara Deluxe PG for Gents,12.9415712,77.7014598,PG,"Kadubeesanahalli, Bengaluru",0.5610991846242679,2.2739679606655447,,,795,13
155,9319,Om Sai Balaji PG For Gents,12.9482855,77.7043559,PG,"Kadubeesanahalli, Bengaluru",0.47288295149134707,1.5104264138868049,,,833,14
156,9327,VISHNU Luxury PG for Women,12.9485471,77.7035149,PG,"Kadubeesanahalli, Bengaluru",0.40737421790465,1.5593058344301929,,,744,12
157,9332,Naveen PG,12.9470571,77.7034992,PG,"Kadubeesanahalli, Bengaluru",0.3422690727534586,1.6719489735145272,,,802,13
158,9335,Anu PG Marathali,12.9481267,77.7027749,PG,"Kadubeesanahalli, Bengaluru",0.3147847315090544,1.6508467301410923,,,727,12
159,9338,Royal challengers paying guest accommodation,12.9506384,77.7034322,PG,"Kadubeesanahalli, Bengaluru",0.5652075148769371,1.428409328564085,,,642,11
160,9339,SS Ladies PG,12.949734,77.7041849,PG,"Kadubeesanahalli, Bengaluru",0.5455503995504172,1.4198453232329196,,,699,12
161,9341,Sri Rajamatha Pg,12.9463348,77.7035894,PG,"Kadubeesanahalli, Bengaluru",0.347106729528827,1.7223158228332982,,,829,14
162,9342,Five star odia pg for gents,12.947878,77.7038876,PG,"Kadubeesanahalli, Bengaluru",0.4083327899859629,1.5784419218767838,,,772,13
163,9343,Stanza Living Scottsdale House Boys PG,12.9494694,77.697967,PG,"Kadubeesanahalli, Bengaluru",0.4211976868535831,2.0081967569237174,,,738,12
164,9344,Sri kamakshi pg for ladies,12.9498374,77.6983029,PG,"Kadubeesanahalli, Bengaluru",0.4338472667673889,1.9574133320162568,,,829,14
165,9345,Parvati Pg,12.9489554,77.7042999,PG,"Kadubeesanahalli, Bengaluru",0.5034116889938106,1.4651098029564233,,,731,12
166,9346,James Bond PG%5BGents%5D,12.9485941,77.7043286,PG,"Kadubeesanahalli, Bengaluru",0.4856147805962109,1.4893768834429102,,,755,13
167,9347,Vijaya pg for gents,12.9494106,77.7025676,PG,"Kadubeesanahalli, Bengaluru",0.39967609590792863,1.582272868367527,,,679,11
168,9349,Nani Luxury PG For Gents,12.950476,77.7049222,PG,"Kadubeesanahalli, Bengaluru",0.6600678562269121,1.3062271341105949,,,658,11
169,9351,J.p.comforts Pg,12.9502816,77.7011463,PG,"Kadubeesanahalli, Bengaluru",0.4274338560642755,1.6614013414264082,,,703,12
170,9354,SRI Rama Delux PG For Gents,12.9504331,77.704144,PG,"Kadubeesanahalli, Bengaluru",0.596491538407698,1.3771309596600538,,,639,11
171,9355,Akshaya PG For Ladies,12.949562,77.7018484,PG,"Kadubeesanahalli, Bengaluru",0.37443581471466564,1.6375149483479297,,,659,11
172,9358,MAA Pg for GENT'S,12.950479,77.7032971,PG,"Kadubeesanahalli, Bengaluru",0.5422737275782686,1.4503165829402103,,,647,11
173,9359,Pg for boys,12.9502831,77.7020503,PG,"Kadubeesanahalli, Bengaluru",0.4565808147135951,1.5765234345680517,,,717,12
174,9361,Suyash PG,12.9520119,77.6974223,PG,"Kadubeesanahalli, Bengaluru",0.6913628309980963,1.9541781640808369,,,692,12
175,9363,Lighthouse PG (For Gents),12.9510196,77.7029956,PG,"Kadubeesanahalli, Bengaluru",0.5755359596570095,1.4466656445988044,,,661,11
176,9365,Sai krishna Pg for gents,12.9500359,77.7015942,PG,"Kadubeesanahalli, Bengaluru",0.41330414568634743,1.6330502835780538,,,661,11
177,9366,SRI LAKSHMI GANESH PG FOR GENTS,12.9483963,77.7041093,PG,"Kadubeesanahalli, Bengaluru",0.45430169853638014,1.5217554756973346,,,759,13
178,9367,Sri SatyaNarayana Swamy PG - Marathahalli,12.9502593,77.7020476,PG,"Kadubeesanahalli, Bengaluru",0.45403360703068135,1.5781360599404983,,,718,12
179,9368,Zolo Mustang Co-Living %7C Redefining PG,12.9516315,77.7047574,PG,"Kadubeesanahalli, Bengaluru",0.7405006326165632,1.2480122888805,,,674,11
180,9369,Neha PG For Ladies,12.9522003,77.7012648,PG,"Kadubeesanahalli, Bengaluru",0.6399202602935753,1.5565542733666347,,,571,10
181,9370,Sri Gayathri Devi PG For Gents,12.9505161,77.7013279,PG,"Kadubeesanahalli, Bengaluru",0.45701828390988314,1.6315553200454151,,,683,11
