Place_name,Latitude,Longitude,Category,Region,haversine_distance_from_centroid,haversine_distance_from_voosh_kitchen,09_30_centroid,19_00_centroid,distance_in_meters_from_centroid
Bhavya Paradise,13.0268616,77.6400037,Apartment,"Kalyan Nagar, Bengaluru",0.12615240530917152,1.6527902786804731,4,5,274
Joyelle,13.0162316,77.6486409,Apartment,"Kalyan Nagar, Bengaluru",1.4530701793810739,0.20357781040748504,9,10,621
Honey Dew Residences,13.018143,77.643587,Apartment,"Kalyan Nagar, Bengaluru",0.9604257344807376,0.7844969234790587,5,6,382
Fair Havens,13.020797,77.640331,Apartment,"Kalyan Nagar, Bengaluru",0.5656406053926827,1.2211788666349679,4,5,303
Fortune Solitaire,13.0179809,77.6500667,Apartment,"Kalyan Nagar, Bengaluru",1.4363108070413366,0.21600329303928598,8,9,534
Aadhya castle,13.0167565,77.6401136,Apartment,"Kalyan Nagar, Bengaluru",1.0102344255476108,1.1292300148800487,5,6,383
Gina Living Waters,13.0279853,77.6385844,Apartment,"Kalyan Nagar, Bengaluru",0.26134767001517417,1.8494600653425002,4,4,240
Cennet,13.0187639,77.6450734,Apartment,"Kalyan Nagar, Bengaluru",0.9882508811956306,0.6602906431529214,6,7,397
Slv Torrent,13.0234241,77.6465274,Apartment,"Kalyan Nagar, Bengaluru",0.8033998130966168,0.92303763912979,5,6,342
Sai Nusshina Splendor,13.0208496,77.6412765,Apartment,"Kalyan Nagar, Bengaluru",0.5845143016412647,1.1322182716414924,5,6,384
SELVAM RESIDENCY,13.0284011,77.6425125,Apartment,"Kalyan Nagar, Bengaluru",0.43165784790235573,1.6205179895501642,5,6,371
Asharath Mansion,13.0212145,77.6399356,Apartment,"Kalyan Nagar, Bengaluru",0.5144201202530284,1.27999983921482,4,5,274
Shanthi Residency,13.0246995,77.637616,Apartment,"Kalyan Nagar, Bengaluru",0.24237771280809817,1.6939604242183195,2,2,122
Geetanjali building,13.023276,77.641786,Apartment,"Kalyan Nagar, Bengaluru",0.37399979386473947,1.23813496064578,4,4,247
Park house,13.0230189,77.6419292,Apartment,"Kalyan Nagar, Bengaluru",0.4058428871841189,1.2078897959913302,4,4,253
Mohit %26 Avishek's flat,13.028292,77.6446448,Apartment,"Kalyan Nagar, Bengaluru",0.6180851640101711,1.4986225692540887,7,7,445
Anthena,13.0210054,77.6437494,Apartment,"Kalyan Nagar, Bengaluru",0.7041249301231628,0.9143867484198756,5,6,355
Pransanna,13.0199963,77.6445789,Apartment,"Kalyan Nagar, Bengaluru",0.8478257276404887,0.7761056545331819,5,6,363
Sree Vasavi Arcade,13.0184226,77.6543549,Apartment,"Kalyan Nagar, Bengaluru",1.8044088450806128,0.49043722591100153,8,9,538
